"","latitude","longitude","reviewCount","checkins"
"4475",43.4793516,-80.5211216,4,11
"11932",35.32867613,-80.73891163,27,45
"23461",33.5384203,-112.1839297,272,639
"11458",36.0125444,-115.1562697,8,41
"2094",45.51983317,-73.57359889,4,6
"14929",33.2332474,-111.8583223,59,75
"7213",33.1362671,-111.5397066,11,19
"16298",33.33548605,-111.7714182,9,97
"10890",33.2926492,-111.8259115,27,38
"13908",43.057669,-89.427763,44,63
"22203",33.458871,-112.077177,212,378
"2117",33.6005624,-111.7163108,17,6
"18599",33.319246,-111.969186,51,155
"13737",35.307416,-80.749782,28,61
"19354",33.5094587,-112.1335055,45,183
"13811",33.60799,-112.0657101,11,61
"23706",33.5173351,-112.0824688,315,738
"15591",33.5982812,-111.9788588,30,85
"5890",33.4090855,-111.856422,7,15
"4922",45.5619319,-73.7453174,4,12
"12318",35.1998167,-80.8411983,34,48
"8229",33.53822,-112.175905,18,24
"4089",36.158184,-115.045058,3,10
"16003",36.30003,-115.14181,51,92
"4005",35.22711,-80.84351,8,10
"1627",45.5225494,-73.5957383,3,5
"24668",33.4475173,-112.0742715,243,2269
"16519",33.4945855,-112.0689504,20,102
"14562",36.108111,-115.136431,15,70
"8489",33.3353688,-111.7389268,22,25
"3866",40.399184,-80.025491,23,10
"19140",33.3220986,-111.6875461,48,174
"5151",45.5122301,-73.6770437,10,13
"8828",33.6464133,-112.2365732,9,26
"20777",36.1944211,-115.2468132,33,255
"16928",33.5688268,-112.1181337,14,110
"22763",33.5381559,-112.2599592,51,469
"19948",43.0785853,-89.3246797,107,208
"10867",33.43748856,-112.0018162,11,37
"12621",36.1116957,-115.1712045,19,50
"9985",36.142963,-115.119334,6,32
"5812",36.2399124,-115.2304425,17,15
"5762",33.9709782,-112.7327848,10,15
"23332",35.2251811,-80.842261,229,598
"23020",33.3349189,-111.9485851,88,521
"11263",40.4440267,-80.0027274,15,40
"19576",33.6716432,-111.9057779,36,191
"10194",36.1262374,-115.2085105,7,33
"18351",36.09409995,-115.296839,30,147
"12123",36.012764,-115.136056,28,46
"4840",35.0531218,-80.84715,6,12
"2994",33.9653033,-112.7510717,6,8
"20399",33.67662098,-111.9746636,67,230
"8363",33.247,-111.84136,15,24
"16934",36.0418557,-115.1178848,8,110
"12519",35.2244665,-80.8478681,10,49
"10206",33.4934672,-112.2918653,23,33
"18619",35.1342838,-80.7125931,65,156
"8639",33.58193,-112.011752,6,26
"18188",36.100579,-115.280865,5,142
"8452",33.580502,-112.203271,20,25
"15741",33.3912468,-111.9089862,13,88
"2259",33.4805041,-112.0115928,16,7
"24811",36.11585434,-115.1761744,3046,10572
"534",33.3339209,-111.755034,7,4
"13786",33.446572,-111.977677,9,61
"14801",36.128561,-115.1711298,14,73
"1974",35.227415,-80.84523,3,6
"23564",33.5093736,-112.0409502,171,679
"18508",33.37831,-111.861418,58,152
"17128",36.157345,-115.1483131,68,115
"12243",33.511132,-112.02476,24,47
"15062",36.0308749,-115.0298499,7,77
"21123",33.421657,-111.944749,73,279
"20879",36.12632118,-115.1974681,51,262
"18364",43.1006619,-89.3483645,71,148
"24064",36.06752226,-115.1782905,125,937
"24090",36.24019217,-115.1209151,271,960
"12026",36.060423,-115.224332,7,45
"24567",36.1470835,-115.2982993,449,1800
"14604",36.1179352,-115.1748371,24,71
"12427",33.2181007,-111.8588719,44,49
"22959",33.4974812,-112.0739922,199,509
"20765",33.3940241,-111.9396018,10,254
"5446",45.4923432,-73.5807685,5,14
"16775",33.7268108,-111.8530558,53,107
"18491",33.6109727,-112.1537691,11,151
"296",33.7971416,-112.1180452,8,3
"21301",33.7143261,-112.1412767,16,291
"17259",43.064652,-89.416998,15,118
"17737",36.06705618,-115.0466341,28,129
"23331",33.6412871,-111.9258682,324,598
"20180",35.9975751,-115.1025425,87,219
"4086",45.5285915,-73.6143847,5,10
"22078",33.53787131,-112.055161,172,364
"8485",43.038073,-89.45202,34,25
"9153",40.112801,-88.239078,36,28
"24754",33.5062078,-112.0739142,714,3191
"14493",33.4617857,-112.169679,11,70
"12536",43.0748766,-89.3957209,29,50
"21442",36.1299924,-115.2074043,85,304
"20567",55.9435562,-3.2081778,48,241
"13234",35.0279271,-80.9651227,7,56
"7166",33.4950939,-112.0289929,3,19
"19398",36.042461,-115.2782,139,185
"8578",33.5521559,-112.257911,4,25
"2938",55.9338246,-3.2106617,10,8
"14628",36.1589085,-115.1365916,13,71
"13196",40.469264,-79.964525,4,55
"3015",45.5010482,-73.5722406,6,8
"2001",33.1702778,-111.5722222,7,6
"2973",45.5798451,-73.5450357,3,8
"11533",33.5382049,-111.8894906,42,42
"18331",36.1442441,-115.1901021,25,146
"22750",36.2919185,-115.1809645,86,465
"24357",36.2651489,-115.2595274,203,1265
"23665",36.11636745,-115.1764396,448,723
"3602",45.500563,-73.5742242,8,9
"2214",33.5670857,-112.1680809,3,6
"18291",36.067199,-115.1722323,66,145
"3228",35.086455,-80.847143,6,8
"2624",36.11492,-115.237825,4,7
"10838",36.1809595,-115.0798046,7,37
"15270",36.114886,-115.226163,3,80
"305",40.0995146,-88.2448139,4,3
"9009",36.089494,-115.138026,3,27
"7178",40.3831218,-80.0148009,8,19
"15012",36.010778,-115.137138,9,76
"11752",33.403689,-111.981986,80,43
"7033",33.318392,-111.71108,15,19
"2842",33.4221725,-112.2721967,3,8
"10869",43.051236,-89.506039,5,37
"9131",40.489187,-79.872811,13,28
"6966",33.219414,-111.564743,4,18
"17981",33.6131582,-112.167811,84,136
"4071",36.0987051,-115.1367778,8,10
"17726",36.0844749,-115.2412756,35,129
"8104",55.95560004,-3.205036556,16,23
"13782",36.1588404,-115.1989841,14,61
"17080",35.2392338,-80.8456153,66,114
"17148",45.497444,-73.579924,46,115
"16499",36.1590527,-115.2355621,4,101
"23809",36.1100794,-115.1725201,379,787
"15802",36.1769889,-115.1744417,16,89
"12384",33.5356776,-112.3416589,9,48
"23253",36.0532414,-115.1723524,89,578
"4378",55.97994536,-3.188438416,10,11
"2889",33.6405889,-112.134846,9,8
"3897",40.429924,-79.989257,28,10
"14746",33.628251,-112.238064,52,73
"11099",40.4410274,-80.003365,16,39
"13691",45.4959361,-73.5798782,13,60
"2039",45.4795045,-73.6243616,8,6
"16373",33.50876,-112.046798,18,99
"17166",36.28782272,-115.287941,26,115
"21677",33.5376313,-112.0556489,49,324
"23503",36.1030009,-115.1735161,329,652
"22460",35.214525,-80.821084,237,416
"6918",35.092812,-80.88523,6,18
"12290",33.6298085,-112.1339176,38,47
"8615",36.150056,-115.331773,10,25
"2167",33.6118672,-111.9976991,4,6
"3674",35.188203,-80.761037,7,9
"20174",35.101861,-80.991397,39,219
"5902",55.9647678,-3.1765531,15,15
"18171",33.595827,-111.980422,37,142
"16767",43.0741778,-89.3919536,26,107
"3629",33.5244132,-112.2048926,3,9
"7883",33.3359562,-111.755876,4,22
"5509",45.5212621,-73.5967856,6,14
"5463",35.319499,-80.952736,17,14
"21596",36.100284,-115.208556,13,316
"13035",33.638685,-112.1476425,37,54
"3056",35.128067,-80.874879,13,8
"21767",36.13130234,-115.2773949,23,332
"2741",36.043483,-115.171085,3,7
"2106",43.0516217,-89.4732193,6,6
"6938",33.3778738,-111.894182,10,18
"14378",45.5033579,-73.5748509,34,68
"85",40.442228,-80.003107,8,3
"278",49.0098,8.39891,27,3
"19596",35.225378,-80.841961,44,192
"9173",36.0864569,-115.2437024,12,28
"18848",36.020812,-115.121054,21,163
"14400",33.367864,-111.789388,10,69
"23991",36.1972177,-115.2405562,122,890
"4937",33.83273536,-111.9501209,11,12
"12319",36.1444267,-115.1748216,18,48
"259",49.009,8.40505,34,3
"14340",40.4537449,-79.947372,13,68
"24364",36.1098769,-115.1731471,381,1278
"1763",45.5120905,-73.6935432,15,6
"18068",33.3928412,-111.8922424,10,139
"15123",33.435146,-111.998367,15,78
"3455",55.9537887,-3.1877579,4,9
"13620",33.5527619,-112.1332565,31,60
"23339",33.3051521,-111.9864053,22,600
"424",36.12511938,-115.1459885,3,3
"22598",33.2711907,-111.7908072,131,440
"5023",36.08600098,-115.1013924,16,13
"625",43.017048,-89.422717,5,4
"8280",33.5364051,-112.3414051,8,24
"22415",40.4455502,-80.0113372,138,408
"22336",33.8005397,-112.1299404,42,396
"21160",35.2025404,-80.8450118,64,281
"24508",36.126728,-115.201181,419,1598
"24680",33.42092,-111.943271,471,2382
"20599",33.58088077,-111.9273388,25,243
"11204",33.377756,-111.9286867,5,39
"7115",55.9387955,-3.2241047,9,19
"15066",35.147611,-80.92533,7,77
"14966",35.0377293,-80.9780796,36,76
"11219",40.432509,-79.9228399,50,40
"13719",35.089846,-80.867187,7,61
"3491",36.1144434,-115.156389,28,9
"10787",33.480828,-112.130669,7,37
"6271",45.5330924,-73.5839575,9,16
"3048",40.38892,-80.049921,7,8
"10760",35.9995957,-115.1025168,9,37
"9962",33.3637516,-111.8914674,17,32
"5360",33.6399551,-112.4535308,5,13
"22405",36.115317,-115.19723,148,407
"7084",55.9635223,-3.1777855,8,19
"24231",36.1669491,-115.1496248,318,1101
"21965",33.5796175,-111.9276631,29,353
"8122",35.20153732,-80.84391421,4,23
"3908",55.9530478,-3.2035843,19,10
"300",45.5304812,-73.5770964,5,3
"24056",36.1437574,-115.169723,329,933
"16390",55.9536723,-3.190509,35,99
"1488",45.5490409,-73.5741895,4,5
"17957",35.11600113,-80.72335815,47,135
"6160",33.4656197,-111.9284182,18,16
"16153",33.16254862,-111.5632679,74,95
"23136",33.57476105,-111.8618274,86,548
"24683",36.2037425,-115.2598768,746,2390
"5704",36.14201,-115.22474,3,14
"24234",36.03025818,-115.0304642,189,1108
"12737",36.2234468,-115.2173307,8,51
"10011",33.67904908,-112.0302696,17,32
"11885",45.5167656,-73.578965,13,44
"14560",36.277801,-115.1163455,16,70
"11081",55.9531151,-3.1987398,29,39
"8220",36.10500616,-115.1752979,13,24
"24794",36.1693227,-115.1413073,804,5111
"23238",36.1182191,-115.1357269,70,573
"23986",33.5551911,-111.8990372,220,885
"16494",33.4947915,-112.0328876,24,101
"553",33.4947702,-112.1716455,3,4
"5600",36.0169498,-115.1185519,21,14
"17077",36.0692784,-115.1722532,22,113
"23340",36.106542,-115.17204,275,601
"18059",33.5754756,-112.0651766,72,139
"15950",35.20874045,-80.86156809,20,91
"2055",35.21910065,-80.81379956,4,6
"9977",36.12573062,-115.1647088,8,32
"12273",55.9453526,-3.2056078,9,47
"333",35.2559868,-80.7362278,5,3
"17337",40.444682,-79.948174,61,120
"9788",40.4435295,-79.9521286,4,31
"19511",43.0759921,-89.3766298,63,189
"11365",33.480023,-111.909402,3,40
"17302",40.4523578,-79.9820206,63,119
"8261",35.226995,-80.844191,10,24
"16334",35.199187,-80.841455,42,98
"18876",33.3776903,-111.7528848,113,164
"3610",45.5378839,-73.6014588,6,9
"979",35.149547,-80.836587,5,4
"19404",35.217592,-80.794631,91,185
"21958",36.074594,-115.243304,51,352
"14372",33.4572786,-112.3956373,23,68
"13286",35.2277626,-80.8379816,23,56
"13255",43.0529381,-89.486175,59,56
"5424",40.478345,-79.955425,20,14
"10555",36.19487702,-115.1196504,3,35
"19509",40.116597,-88.242292,65,189
"10309",36.1162231,-115.1378401,10,34
"17843",36.2896115,-115.2874864,31,132
"8772",45.509175,-73.5518333,21,26
"8144",33.4801716,-111.9105545,7,23
"12866",55.95232353,-3.20526123,72,53
"18703",36.109623,-115.172608,76,158
"6452",43.0158469,-89.5114329,19,17
"5365",33.43753275,-112.00229,3,13
"11931",45.472774,-73.6111631,39,45
"6795",43.1014598,-89.5111616,14,18
"9603",45.52868643,-73.5782383,17,30
"20982",36.0242999,-115.1717827,36,269
"24464",33.501345,-111.921173,68,1527
"2127",33.49563391,-112.2368645,4,6
"4076",40.4542458,-80.0004949,8,10
"2454",33.4856274,-112.1343594,7,7
"9994",36.1183787,-115.1726202,34,32
"20787",36.0550563,-115.2834396,27,255
"4973",45.5124268,-73.5614795,6,12
"18706",36.1139123,-115.1369385,28,158
"3402",35.200069,-80.852474,12,9
"14398",33.4949597,-111.98959,57,69
"8838",35.0017098,-80.6998415,8,26
"4265",36.018425,-115.118069,18,11
"13982",33.713643,-112.2006889,44,64
"14965",36.12542213,-115.2076887,21,76
"2141",33.414851,-111.912055,6,6
"13274",40.4901919,-79.9044419,44,56
"21338",36.1173225,-115.1715632,79,294
"20385",33.5958042,-112.2226374,103,229
"8461",33.508972,-112.3415194,14,25
"14233",35.177329,-80.876766,18,67
"154",45.52479883,-73.71266268,5,3
"363",33.6677797,-112.124066,3,3
"8632",35.124273,-80.728666,19,25
"13410",33.8649126,-112.1388544,30,58
"2365",35.220079,-80.802542,4,7
"19306",33.29326124,-111.7890336,98,181
"8698",33.6411675,-111.9942361,10,26
"17211",33.468988,-112.074315,5,116
"6317",36.1725319,-115.197258,6,16
"7799",36.10007809,-115.2332432,25,22
"7360",40.11080479,-88.2302966,8,20
"15074",33.507549,-112.047066,9,77
"13277",55.9584567,-3.1835441,15,56
"11445",45.522595,-73.5841648,16,41
"18612",36.02765873,-115.0848637,5,155
"2393",45.507279,-73.560413,12,7
"23793",36.019171,-115.270965,140,782
"8588",35.225378,-80.841961,5,25
"4074",33.622874,-111.9293766,8,10
"8241",33.3789718,-111.6018113,19,24
"24065",33.4543305,-111.8856396,97,938
"19360",33.465611,-112.082178,26,183
"7435",40.4274699,-80.0524348,25,20
"14240",33.34913024,-111.8570296,31,67
"5241",55.9573847,-3.2066533,9,13
"2794",33.623121,-111.717883,32,8
"10038",40.426635,-79.972959,6,32
"8808",33.51039802,-112.027891,9,26
"13019",33.3350535,-111.9445749,26,54
"14153",35.297087,-80.755382,57,66
"16031",33.3207935,-111.8471271,11,93
"15502",40.1106195,-88.2311483,48,84
"22675",33.6827535,-112.0992398,35,452
"19454",32.9482451,-112.7117334,65,187
"19691",36.1429917,-115.2254682,53,196
"14503",33.3200501,-111.891889,14,70
"7573",33.3287709,-111.8690996,26,21
"11551",55.95740503,-3.207224607,11,42
"12641",45.4754299,-73.622947,20,50
"20460",36.02951,-115.086426,77,234
"22023",36.1253986,-115.1963604,204,359
"20969",36.099319,-115.114283,123,269
"4827",33.25539,-111.62019,15,12
"1495",45.5333518,-73.6133848,4,5
"3480",55.9437579,-3.2192518,8,9
"7185",36.1736927,-115.0790414,3,19
"22733",36.105471,-115.151648,111,461
"4124",36.17520785,-115.136389,6,10
"16959",33.5082688,-112.0317156,64,111
"15983",33.4792484,-112.2183881,20,92
"5719",36.1087121,-115.1724729,3,14
"12062",33.6090697,-112.3926099,7,46
"10060",36.073179,-115.1175528,25,33
"5935",36.1160032,-115.1872893,4,15
"1783",43.1867059,-89.2308961,11,6
"11729",33.8710668,-112.1506951,4,43
"17448",33.5087649,-112.04624,16,122
"17472",35.2550341,-81.0351919,7,122
"10272",36.2003921,-115.2819509,18,34
"4940",33.5240362,-112.0485304,11,12
"18290",33.3791835,-111.7239389,85,145
"12075",33.445055,-111.926959,54,46
"11528",33.4770399,-112.0649071,38,42
"9771",33.3944997,-111.8748402,14,31
"24459",33.458348,-112.067828,272,1523
"23343",36.2627888,-115.2564721,139,601
"6549",36.157919,-115.203097,3,17
"1276",55.950637,-3.1888201,5,5
"6371",33.5382879,-112.1331253,4,16
"3903",33.5103212,-112.263862,4,10
"24692",36.11293028,-115.1699689,1424,2456
"2988",45.4584946,-73.5673854,5,8
"22897",33.62781427,-111.8935126,116,496
"5351",35.1481481,-80.8764777,3,13
"12345",36.152902,-115.243109,9,48
"2408",43.07384,-89.3798031,35,7
"22051",40.4379225,-79.9201231,212,362
"20450",36.0844749,-115.2412756,80,233
"434",45.5235641,-73.6056316,4,3
"17695",33.5702214,-111.8891061,83,128
"19860",33.3355472,-111.8779245,5,204
"4652",33.6546046,-112.1526954,14,12
"111",45.4508248,-73.4693246,5,3
"1219",43.5048639,-80.5243842,10,5
"16780",36.1607472,-115.2910679,49,107
"2434",43.0470342,-89.3939631,7,7
"10082",33.422318,-111.937085,5,33
"11511",40.119807,-88.2438559,64,42
"19809",40.460424,-79.919386,104,202
"14701",43.0751082,-89.4476881,62,72
"19125",36.013806,-115.134967,52,173
"651",45.4651848,-73.5667926,6,4
"19522",35.9993777,-115.1054125,25,189
"21466",33.678615,-111.9746066,60,306
"9243",36.261531,-115.1812928,11,28
"1144",35.333765,-80.793683,4,5
"10469",40.42896883,-79.9817369,31,35
"16145",36.0609394,-115.0361196,15,95
"21544",40.110113,-88.233218,87,312
"21852",36.2890699,-115.288482,45,341
"5312",35.306624,-80.723767,3,13
"1351",33.6408798,-111.994275,5,5
"7844",33.5532298,-112.136448,7,22
"8524",43.035492,-89.4099449,12,25
"18806",36.099777,-115.1725943,34,162
"18360",36.09164,-115.228958,24,147
"20883",36.260078,-115.156051,20,262
"14330",36.127459,-115.241693,20,68
"17745",40.4288123,-79.986743,28,129
"4312",33.383123,-111.964485,11,11
"18310",33.3924628,-111.8248831,61,146
"1480",33.6320819,-112.339617,6,5
"9104",33.4652484,-112.0476957,18,28
"24074",33.304492,-111.873637,383,944
"19330",33.5288312,-111.9730855,80,182
"9625",40.49489765,-79.85919322,12,30
"5354",35.199738,-80.842121,7,13
"11349",33.26399855,-111.856509,5,40
"3741",55.9581426,-3.1900934,19,10
"24561",36.093647,-115.175383,469,1785
"14861",35.2249747,-80.8419438,33,74
"16014",35.227396,-80.842257,4,92
"13549",36.240154,-115.065915,21,59
"19342",36.060576,-115.035397,8,182
"4363",45.499249,-73.5788776,14,11
"17566",40.4441681,-79.994852,74,125
"20132",33.5093023,-112.0888223,130,217
"19141",33.349696,-111.94761,49,174
"6765",33.60266364,-111.9836109,5,18
"5196",45.5130188,-73.5663321,9,13
"18058",36.1263784,-115.1969938,96,139
"15005",33.37831,-111.861418,44,76
"8343",33.49447208,-112.358924,16,24
"2107",43.0625109,-89.4010017,10,6
"15761",36.0993008,-115.1179154,32,88
"21995",36.14770952,-115.1552059,159,357
"14882",33.63863705,-112.396403,21,74
"16161",33.5384459,-112.1516813,25,95
"4075",40.3560807,-80.0503427,10,10
"24247",33.45669606,-112.0723271,730,1119
"11069",45.5087714,-73.5520075,53,39
"10764",36.0621,-114.9539,10,37
"17267",35.307846,-80.75423,30,118
"2076",36.16582108,-115.1431971,4,6
"24324",36.2697496,-115.2614678,171,1224
"19539",40.4510918,-79.9350785,77,190
"4677",33.5382697,-112.1776252,6,12
"21058",33.5778831,-112.1164816,46,275
"21250",33.4638107,-112.358687,43,288
"9945",36.10252049,-115.2019845,23,32
"23683",33.516292,-112.082912,21,729
"7973",45.5259082,-73.6033323,22,23
"19693",36.159417,-115.320321,25,196
"2921",40.4543642,-79.9481151,5,8
"6250",40.450952,-79.933592,30,16
"13446",36.1931046,-115.3041999,46,58
"17071",36.089494,-115.138026,10,113
"18204",36.2067752,-115.2684309,37,143
"933",33.585636,-111.926761,7,4
"13625",43.0513364,-89.378948,24,60
"15298",45.5135699,-73.5729282,31,80
"16877",33.3793261,-111.6002804,24,109
"21090",36.0577328,-115.1583224,54,277
"24239",40.44314459,-80.00110379,657,1112
"23493",33.5360672,-112.2635504,110,650
"13163",55.9478575,-3.1953738,39,55
"6944",35.2072827,-80.7579635,3,18
"21394",36.1065041,-115.2979412,78,299
"15533",40.4693878,-79.9612696,39,84
"21392",33.4659249,-112.2803214,35,299
"942",45.5186107,-73.5559062,3,4
"9050",55.92439276,-3.209995527,4,27
"20985",36.1051599,-115.136178,89,270
"15848",33.5382505,-112.0474843,5,89
"8140",33.61116,-112.135541,5,23
"3889",45.5242386,-73.5827167,19,10
"4485",40.4286949,-79.9844739,14,11
"14579",36.17571197,-115.223681,8,71
"23121",36.2604501,-115.1539433,124,545
"15901",35.104249,-80.879859,12,91
"8552",33.5404107,-111.8870991,6,25
"20893",33.550211,-112.410581,79,263
"5822",33.4228607,-111.8659853,47,15
"21922",33.639783,-111.97826,116,349
"24756",36.0262317,-115.1192573,374,3205
"11981",36.17235662,-115.1469487,15,45
"20033",43.079822,-89.368671,168,212
"14433",36.2180975,-115.1602533,5,69
"8718",33.4153506,-111.5689769,5,26
"20296",36.02534349,-115.1510466,66,225
"24579",36.1591178,-115.3328466,280,1835
"9772",33.6386192,-112.1877119,9,31
"3472",33.6090094,-112.22073,10,9
"23753",45.5155487,-73.5711155,224,762
"6248",33.58310318,-111.8887558,4,16
"4450",36.17328063,-115.0617902,6,11
"21246",33.33496757,-111.9621134,30,287
"3983",36.1588428,-115.124292,3,10
"13602",45.5088472,-73.5720526,16,59
"8764",33.3038469,-111.9468378,9,26
"8231",36.114249,-115.066886,5,24
"2222",55.9527204,-3.1932081,4,6
"14232",55.9469102,-3.1854336,51,67
"18639",33.437126,-112.0709608,63,156
"16953",33.535314,-112.15942,26,111
"24775",33.5017723,-111.9281865,770,3829
"12090",33.2614582,-111.8844394,27,46
"15134",36.060423,-115.224332,13,78
"18438",40.110527,-88.236332,207,150
"4183",36.171184,-115.211622,3,10
"3040",45.5043278,-73.5795855,4,8
"13587",36.2391229,-115.1498465,7,59
"12868",35.225906,-80.846624,20,53
"19928",36.0219522,-115.0913779,27,207
"9715",33.407857,-111.92477,4,31
"2865",45.5086699,-73.5539925,4,8
"5670",33.40706551,-111.9529191,10,14
"6625",36.135765,-115.085027,4,17
"2397",43.4723281,-80.53774964,17,7
"16562",36.107456,-115.154103,53,103
"8282",45.500563,-73.5742242,20,24
"5884",45.5057149,-73.5530179,13,15
"24543",36.1008267,-115.2091768,60,1716
"10712",35.1716684,-80.8492639,6,36
"18440",33.334831,-111.927071,59,150
"19722",33.552127,-112.260032,29,198
"15927",33.480085,-112.13332,17,91
"9237",40.0995146,-88.2448139,16,28
"3806",35.3113103,-80.746403,13,10
"23585",33.6328505,-112.0312477,155,687
"12595",33.6717895,-111.9060007,33,50
"10576",40.472751,-79.959173,37,36
"5961",35.253329,-81.027326,6,15
"7356",36.11314202,-114.9237299,7,20
"13162",40.113786,-88.243041,9,55
"4649",45.467512,-73.541729,9,12
"1767",36.1440399,-115.1627872,8,6
"3995",45.51576174,-73.5707231,6,10
"14413",35.1813689,-80.883661,46,69
"900",33.6128816,-111.9778065,8,4
"12642",33.523426,-112.047835,11,50
"16124",33.55424118,-112.0986481,11,94
"20459",36.0123098,-115.1189623,90,234
"15656",33.7803604,-111.9257474,33,86
"7652",33.3852846,-111.964558,5,21
"17127",33.4216347,-111.8858437,33,115
"6968",40.457861,-79.9280308,45,19
"13550",35.0266831,-80.8387944,23,59
"10103",33.47987,-111.989954,18,33
"24156",36.0725931,-115.242883,247,1015
"6151",33.6386891,-112.4046428,13,16
"20707",40.4411695,-80.0014832,28,249
"7627",33.5114334,-112.0685027,9,21
"21283",35.143982,-80.932284,34,290
"7752",40.112801,-88.239078,32,22
"20830",45.4922955,-73.5820001,24,258
"7970",35.2261079,-80.8468595,8,23
"4315",40.435861,-79.923263,26,11
"1957",33.464515,-111.927493,3,6
"5125",36.1299918,-115.2074073,15,13
"19407",36.238902,-115.155476,73,185
"3849",36.12717449,-115.1725031,8,10
"17135",33.65664673,-111.8665619,54,115
"9544",36.238891,-115.156119,6,30
"1404",33.4219963,-111.9398864,46,5
"15788",33.2758663,-111.8423861,6,88
"4130",35.067846,-80.676496,3,10
"10566",33.37754,-112.16813,10,36
"4762",45.5250207,-73.5854955,9,12
"14346",35.082645,-80.885621,35,68
"4536",35.061806,-80.7699331,3,11
"19827",33.639241,-111.881719,43,203
"16594",35.1743807,-80.8394847,32,103
"3669",33.3209816,-111.773681,4,9
"11904",40.4094884,-79.9151108,25,45
"15754",33.3165959,-112.0036214,66,88
"4641",33.538767,-112.134228,4,12
"13833",33.3931452,-111.8744982,31,62
"19668",36.0554537,-115.0414221,152,195
"14759",36.1138571,-115.1370379,27,73
"9606",33.494319,-112.3401091,12,30
"11889",36.0113116,-115.1747074,22,44
"12418",33.3880845,-111.8398537,20,49
"5954",33.5816228,-112.1207001,4,15
"6789",36.14460754,-115.1320877,15,18
"16836",33.381101,-111.7226826,18,108
"23451",33.6116508,-112.165568,188,637
"12072",45.5125473,-73.5694028,44,46
"23318",36.04838181,-115.2244492,149,596
"11417",33.39926,-111.36425,25,41
"10990",36.10337034,-115.168115,7,38
"11293",45.5344041,-73.5829548,10,40
"6748",33.407717,-111.950803,5,18
"11399",36.0169212,-115.1366111,11,41
"21927",33.6375674,-112.0981421,43,349
"6207",36.0066822,-115.0964653,8,16
"4049",55.9661565,-3.1751761,6,10
"12181",43.047024,-89.3238721,10,47
"17170",45.4972377,-73.5754925,68,115
"1646",43.122338,-89.35568,3,5
"5878",33.4660406,-112.0118669,8,15
"1594",33.37860646,-112.0306289,5,5
"10535",33.3782441,-111.9531778,7,35
"5203",35.24609,-80.893248,3,13
"359",45.5086699,-73.5539925,7,3
"8529",33.455863,-112.072167,13,25
"11602",33.26386,-111.858318,4,42
"3981",33.611117,-112.169012,3,10
"7432",43.1028595,-89.3446991,4,20
"8457",45.5243196,-73.582644,15,25
"22368",33.6382705,-112.3954403,77,401
"5327",36.10261608,-115.1674434,11,13
"13605",36.130324,-115.082407,3,59
"59",45.5446799,-73.7525987,7,3
"13241",33.7114452,-112.2731482,36,56
"2888",33.415885,-111.574489,3,8
"8408",35.230194,-80.839336,17,25
"3640",45.5355846,-73.6143246,4,9
"20453",36.1129599,-115.1727955,89,233
"18567",35.3657044,-80.7154023,19,154
"3089",36.1725319,-115.197258,5,8
"2867",45.4701455,-73.8319325,15,8
"14993",33.30477141,-111.9770727,21,76
"1585",33.6228118,-112.3312083,6,5
"12388",33.64117,-112.35433,5,48
"5520",33.4659771,-112.1696016,17,14
"14140",36.0395488,-115.0298677,49,66
